フォーマット区分,締切年月日,客先口座番号,カード体系区分,カードコード,特約店独自コード,提供先会員コード,提供先会員名称,インタンク区分,実車番・届先,車両・届先名称（カナ）,車両・届先名称,給油ＳＳコード,給油ＳＳ名称,給油日付,給油時刻,カード入力区分,販売形態,レシート番号,商品分類,商品コード,荷姿コード,商品名称,処理区分,値付区分,数量,換算後数量,単価（軽油税込）,単価（軽油税抜）,金額（軽油税込）,金額（軽油税抜）,消費税,合計金額,軽油税,陸運支局部,自動車識別登録番号,車種,車両番号,給油ＳＳ都道府県名,給油ＳＳ市郡区名,給油ＳＳ区町村名,管外区分,高速区分
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250511,2200,0,2,165301,112,0026,00,レギュラー　　　　　,0,1,+0000038.41,+0000038.41,+0000148.50,+0000148.50,+00005703,+00005703,+00000570,+00006273,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3206323,ルート１２２白岡菖蒲インターＴ,20250513,1923,0,2,193201,112,0026,00,レギュラー　　　　　,0,1,+0000051.22,+0000051.22,+0000148.50,+0000148.50,+00007606,+00007606,+00000761,+00008367,+00000000,　　　　,   ,　,      ,埼玉県　,加須市　　　,鴻茎　　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250515,2030,0,2,313901,112,0026,00,レギュラー　　　　　,0,1,+0000036.04,+0000036.04,+0000148.50,+0000148.50,+00005351,+00005351,+00000535,+00005886,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3206208,東北道蓮田ＳＡ上ＳＳ　　　　　,20250519,1645,0,3,509601,112,0026,00,レギュラー　　　　　,0,1,+0000041.00,+0000041.00,+0000148.50,+0000148.50,+00006088,+00006088,+00000609,+00006697,+00000000,　　　　,   ,　,      ,埼玉県　,蓮田市　　　,大字川島　　,0,1
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250521,2003,0,2,535901,112,0026,00,レギュラー　　　　　,0,1,+0000044.50,+0000044.50,+0000148.50,+0000148.50,+00006608,+00006608,+00000661,+00007269,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3206208,東北道蓮田ＳＡ上ＳＳ　　　　　,20250526,1611,0,3,220701,112,0026,00,レギュラー　　　　　,0,1,+0000045.03,+0000045.03,+0000148.50,+0000148.50,+00006686,+00006686,+00000669,+00007355,+00000000,　　　　,   ,　,      ,埼玉県　,蓮田市　　　,大字川島　　,0,1
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3203825,鹿島屋　関越道下り三芳ＰＡ　　,20250527,2025,0,7,058401,112,0026,00,レギュラー　　　　　,0,1,+0000038.00,+0000038.00,+0000150.50,+0000150.50,+00005719,+00005719,+00000572,+00006291,+00000000,　　　　,   ,　,      ,埼玉県　,入間郡　　　,三芳町　　　,1,1
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,0715,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0101437,安中下りＴＳ　　　　　　　　　,20250530,0317,0,2,730301,112,0026,00,レギュラー　　　　　,0,1,+0000048.85,+0000048.85,+0000148.50,+0000148.50,+00007254,+00007254,+00000725,+00007979,+00000000,　　　　,   ,　,      ,群馬県　,安中市　　　,郷原　　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1037,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250515,2140,0,0,316101,130,0216,00,軽油　　　　　　　　,0,1,+0000170.00,+0000170.00,+0000124.70,+0000092.60,+00021199,+00015742,+00001574,+00022773,+00005457,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1037,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250515,2149,0,0,316401,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1037,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250517,2054,0,0,392001,130,0216,00,軽油　　　　　　　　,0,1,+0000180.00,+0000180.00,+0000124.70,+0000092.60,+00022446,+00016668,+00001667,+00024113,+00005778,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1037,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250517,2059,0,0,393101,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1055,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250507,1601,0,0,707301,130,0216,00,軽油　　　　　　　　,0,1,+0000285.00,+0000285.00,+0000124.70,+0000092.60,+00035539,+00026391,+00002639,+00038178,+00009148,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1055,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250514,1610,0,0,264901,130,0216,00,軽油　　　　　　　　,0,1,+0000227.00,+0000227.00,+0000124.70,+0000092.60,+00028306,+00021020,+00002102,+00030408,+00007286,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1055,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250516,1558,0,0,344401,130,0216,00,軽油　　　　　　　　,0,1,+0000260.00,+0000260.00,+0000124.70,+0000092.60,+00032422,+00024076,+00002408,+00034830,+00008346,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1055,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250521,1555,0,0,525801,130,0216,00,軽油　　　　　　　　,0,1,+0000294.00,+0000294.00,+0000124.70,+0000092.60,+00036661,+00027224,+00002722,+00039383,+00009437,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1101,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0090911,栃木小山ＴＳ　　　　　　　　　,20250513,1943,0,0,633701,130,0216,00,軽油　　　　　　　　,0,1,+0000277.00,+0000277.00,+0000124.70,+0000092.60,+00034541,+00025650,+00002565,+00037106,+00008891,　　　　,   ,　,      ,栃木県　,小山市　　　,大字鉢形　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1101,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0090911,栃木小山ＴＳ　　　　　　　　　,20250527,1959,0,0,006201,130,0216,00,軽油　　　　　　　　,0,1,+0000286.00,+0000286.00,+0000124.70,+0000092.60,+00035664,+00026484,+00002648,+00038312,+00009180,　　　　,   ,　,      ,栃木県　,小山市　　　,大字鉢形　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4103503,佐野藤岡インタ－ＴＳ　　　　　,20250501,0711,0,0,570301,130,0216,00,軽油　　　　　　　　,0,1,+0000140.00,+0000140.00,+0000124.70,+0000092.60,+00017458,+00012964,+00001296,+00018754,+00004494,　　　　,   ,　,      ,栃木県　,栃木市　　　,藤岡町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250505,0307,0,0,633501,130,0216,00,軽油　　　　　　　　,0,1,+0000070.00,+0000070.00,+0000124.70,+0000092.60,+00008729,+00006482,+00000648,+00009377,+00002247,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250506,0319,0,0,661701,130,0216,00,軽油　　　　　　　　,0,1,+0000072.00,+0000072.00,+0000124.70,+0000092.60,+00008978,+00006667,+00000667,+00009645,+00002311,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250507,0300,0,0,684401,130,0216,00,軽油　　　　　　　　,0,1,+0000073.00,+0000073.00,+0000124.70,+0000092.60,+00009103,+00006760,+00000676,+00009779,+00002343,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250510,0322,0,0,102901,130,0216,00,軽油　　　　　　　　,0,1,+0000078.00,+0000078.00,+0000124.70,+0000092.60,+00009726,+00007223,+00000722,+00010448,+00002503,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3206372,上武道深谷バイパスＴＳ　　　　,20250512,2233,0,0,219501,130,0216,00,軽油　　　　　　　　,0,1,+0000120.00,+0000120.00,+0000124.70,+0000092.60,+00014964,+00011112,+00001111,+00016075,+00003852,　　　　,   ,　,      ,埼玉県　,熊谷市　　　,西別府　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250517,0252,0,0,363401,130,0216,00,軽油　　　　　　　　,0,1,+0000117.00,+0000117.00,+0000124.70,+0000092.60,+00014589,+00010834,+00001083,+00015672,+00003755,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250523,0305,0,0,583501,130,0216,00,軽油　　　　　　　　,0,1,+0000133.00,+0000133.00,+0000124.70,+0000092.60,+00016585,+00012316,+00001232,+00017817,+00004269,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1105,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250524,0241,0,0,625001,130,0216,00,軽油　　　　　　　　,0,1,+0000077.00,+0000077.00,+0000124.70,+0000092.60,+00009601,+00007130,+00000713,+00010314,+00002471,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250430,2138,0,0,491001,130,0216,00,軽油　　　　　　　　,0,1,+0000294.00,+0000294.00,+0000131.20,+0000099.10,+00038572,+00029135,+00002914,+00041486,+00009437,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250504,2049,0,0,627301,130,0216,00,軽油　　　　　　　　,0,1,+0000116.00,+0000116.00,+0000124.70,+0000092.60,+00014465,+00010742,+00001074,+00015539,+00003723,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250504,2055,0,0,627501,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250509,2246,0,0,799401,130,0216,00,軽油　　　　　　　　,0,1,+0000317.00,+0000317.00,+0000124.70,+0000092.60,+00039529,+00029354,+00002935,+00042464,+00010175,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250512,2220,0,0,199001,130,0216,00,軽油　　　　　　　　,0,1,+0000220.00,+0000220.00,+0000124.70,+0000092.60,+00027434,+00020372,+00002037,+00029471,+00007062,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250516,2211,0,0,358001,130,0216,00,軽油　　　　　　　　,0,1,+0000179.00,+0000179.00,+0000124.70,+0000092.60,+00022321,+00016576,+00001658,+00023979,+00005745,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250520,2126,0,0,497801,130,0216,00,軽油　　　　　　　　,0,1,+0000303.00,+0000303.00,+0000124.70,+0000092.60,+00037784,+00028058,+00002806,+00040590,+00009726,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,4204533,高崎インター東ＴＳ　　　　　　,20250523,2228,0,0,619401,130,0216,00,軽油　　　　　　　　,0,1,+0000268.00,+0000268.00,+0000124.70,+0000092.60,+00033419,+00024817,+00002482,+00035901,+00008602,　　　　,   ,　,      ,群馬県　,前橋市　　　,亀里町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1107,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,3206372,上武道深谷バイパスＴＳ　　　　,20250527,2019,0,0,505201,130,0216,00,軽油　　　　　　　　,0,1,+0000293.00,+0000293.00,+0000124.70,+0000092.60,+00036537,+00027132,+00002713,+00039250,+00009405,　　　　,   ,　,      ,埼玉県　,熊谷市　　　,西別府　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0101437,安中下りＴＳ　　　　　　　　　,20250503,1703,0,0,427801,130,0216,00,軽油　　　　　　　　,0,1,+0000243.00,+0000243.00,+0000124.70,+0000092.60,+00030302,+00022502,+00002250,+00032552,+00007800,　　　　,   ,　,      ,群馬県　,安中市　　　,郷原　　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0101437,安中下りＴＳ　　　　　　　　　,20250503,1707,0,0,428901,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,群馬県　,安中市　　　,郷原　　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,5202759,岐阜羽島インターＴＳ　　　　　,20250504,1637,0,0,715401,130,0216,00,軽油　　　　　　　　,0,1,+0000138.00,+0000138.00,+0000124.70,+0000092.60,+00017208,+00012779,+00001278,+00018486,+00004429,　　　　,   ,　,      ,岐阜県　,羽島市　　　,上中町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,5202759,岐阜羽島インターＴＳ　　　　　,20250504,1640,0,0,715601,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,岐阜県　,羽島市　　　,上中町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,5202759,岐阜羽島インターＴＳ　　　　　,20250506,1611,0,0,795001,130,0216,00,軽油　　　　　　　　,0,1,+0000152.00,+0000152.00,+0000124.70,+0000092.60,+00018954,+00014075,+00001408,+00020362,+00004879,　　　　,   ,　,      ,岐阜県　,羽島市　　　,上中町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,5202759,岐阜羽島インターＴＳ　　　　　,20250506,1613,0,0,795301,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,岐阜県　,羽島市　　　,上中町　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0101437,安中下りＴＳ　　　　　　　　　,20250510,1700,0,0,199201,130,0216,00,軽油　　　　　　　　,0,1,+0000256.00,+0000256.00,+0000124.70,+0000092.60,+00031923,+00023706,+00002371,+00034294,+00008217,　　　　,   ,　,      ,群馬県　,安中市　　　,郷原　　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0101437,安中下りＴＳ　　　　　　　　　,20250510,1710,0,0,200301,310,8790,00,大型洗車　　　　　　,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,群馬県　,安中市　　　,郷原　　　　,0,0
0001,20250531,584108206874,1,584108206874100      ,       ,            ,株式会社関東隆商運輸　　　　　　　　　　　　　　,0,1127,                         ,　　　　　　　　　　　　　　　　　　　　　　　　,0101437,安中下りＴＳ　　　　　　　　　,20250510,1710,0,0,200302,310,6447,00,その他洗車オプション,0,1,+0000001.00,+0000001.00,+0000100.00,+0000100.00,+00000100,+00000100,+00000010,+00000110,+00000000,　　　　,   ,　,      ,群馬県　,安中市　　　,郷原　　　　,0,0
